uid,title,abstract,year,venue,authors,doi,arxiv_id,url,source,query,query_role,family,advisor_seed,citation_count,matched_terms,retrieved_at,relevance_score,hostile_score
doi:10.1109/robot.2009.5152268,Safe robot arm with safe joint mechanism using nonlinear spring system for collision safety,"Collision safety between humans and robots has drawn much attention since service robots are increasingly being used in human environments. A safe robot arm based on passive compliance can usually provide faster and more reliable responses for dynamic collision than an active one involving sensors and actuators. Since both positioning accuracy and collision safety of the robot arm are equally important, a robot arm should have very low stiffness when subjected to a collision force greater than the injury tolerance, but should otherwise maintain very high stiffness. To implement these requirements, a novel safe joint mechanism (SJM-II) which has much smaller size and lighter weight than the previous model, is proposed in this research. The SJM-II has the advantage of nonlinear spring which is achieved using only passive mechanical elements such as linear springs and a double-slider mechan",2009,,Jung-Jun Park; Hwi-Su Kim; Jae-Bok Song,10.1109/robot.2009.5152268,,https://doi.org/10.1109/robot.2009.5152268,openalex,robotics,concept,openalex_bulk_robotics,,82,,2026-06-12T18:57:17Z,24.609,24.609
doi:10.1109/robot.2010.5509492,Safe joint mechanism using inclined link with springs for collision safety and positioning accuracy of a robot arm,"In recent years, the potential for collision between humans and robots has drawn much attention since service robots are increasingly being used in the human environment. A safe robot arm can be achieved using either an active or passive compliance method. A passive compliance system composed of purely mechanical elements often provides faster and more reliable responses to dynamic collision than an active system involving sensors and actuators. Since positioning accuracy and collision safety of a robot arm are equally important, a robot arm should have very low stiffness when subjected to a collision force capable of causing human injury. Otherwise, it should maintain a very high stiffness. To implement these requirements, a novel safe joint mechanism (SJM-III) consisting of an inclined link, a slider with rollers, and linear springs is proposed. The SJM-III has the advantage of nonline",2010,,Jung-Jun Park; Jae-Bok Song,10.1109/robot.2010.5509492,,https://doi.org/10.1109/robot.2010.5509492,openalex,robotics,concept,openalex_bulk_robotics,,43,,2026-06-12T18:57:17Z,24.292,24.292
doi:10.1109/robot.2008.4543529,Safe joint mechanism based on nonlinear stiffness for safe human-robot collision,"In recent years, collision safety has been one of the most important issues for service robots. To ensure collision safety assurance, a passive compliance method is preferred to an active one because it can provide faster and more reliable responses to dynamic collision. Since both positioning accuracy and collision safety are equally important, a robot arm should have very low stiffness when subjected to a collision force greater than the one causing human injury, but maintain very high stiffness otherwise. In order to realize these ideal features, a novel safe joint mechanism (SJM) composed of linear springs and a modified slider-crank mechanism is proposed in this paper. The SJM has the advantages of variable stiffness which can be achieved only by passive mechanical elements. Various experiments on static and dynamic collisions show the high stiffness of the SJM against an external f",2008,,Jung-Jun Park; Yong‐Ju Lee; Jae-Bok Song; Hong‐Seok Kim,10.1109/robot.2008.4543529,,https://doi.org/10.1109/robot.2008.4543529,openalex,robotics,concept,openalex_bulk_robotics,,60,,2026-06-12T18:57:17Z,21.455,21.455
doi:10.1109/robot.2007.363140,Safe Link Mechanism based on Passive Compliance for Safe Human-Robot Collision,"A safe robot arm can be achieved by either passive or active compliance. The passive compliance systems composed of purely mechanical elements often provide faster and more reliable responses for dynamic collision than the active ones involving sensors and actuators. Since both positioning accuracy and collision safety are important, a robot arm should exhibit very low stiffness when subjected to the collision force greater than the one causing injury to humans, but maintain very high stiffness otherwise. To implement these requirements, a novel safe link mechanism (SLM), which consists of linear springs, a double-slider mechanism and shock absorbing modules, is proposed in this research. The main contribution of SLM lies in its variable stiffness capability implemented only by passive mechanical elements. Various experiments for static and dynamic collision show that the stiffness of SL",2007,Proceedings - IEEE International Conference on Robotics and Automation/Proceedings,Jung-Jun Park; Byeong-Sang Kim; Jae-Bok Song; Hong‐Seok Kim,10.1109/robot.2007.363140,,https://doi.org/10.1109/robot.2007.363140,openalex,robotics,concept,openalex_bulk_robotics,,41,,2026-06-12T18:57:17Z,21.269,21.269
doi:10.1115/1.4001666,A Nonlinear Stiffness Safe Joint Mechanism Design for Human Robot Interaction,"Service robots used in human environments must be designed to avoid collisions with humans. A safe robot arm can be designed using active or passive compliance methods. A passive compliance system composed of purely mechanical elements often provides faster and more reliable responses for dynamic collision than an active one involving sensors and actuators. Because positioning accuracy and collision safety are equally important, a robot arm should have very low stiffness when subjected to a collision force that could cause human injury but should otherwise maintain very high stiffness. A novel safe joint mechanism (SJM) consisting of linear springs and a double-slider mechanism is proposed to address these requirements. The SJM has variable stiffness that can be achieved with only passive mechanical elements. Analyses and experiments on static and dynamic collisions show high stiffness a",2010,Journal of Mechanical Design,Jung-Jun Park; Jae‐Bok Song,10.1115/1.4001666,,https://doi.org/10.1115/1.4001666,openalex,robotics,concept,openalex_bulk_robotics,,29,human robot interaction,2026-06-12T18:57:17Z,21.101,21.101
doi:10.1016/j.ins.2024.121567,Safe robust multi-agent reinforcement learning with neural control barrier functions and safety attention mechanism,,2025,Information Sciences,Shihan Liu; Lijun Liu; Zhen Yu,10.1016/j.ins.2024.121567,,https://doi.org/10.1016/j.ins.2024.121567,crossref,control barrier functions robot learning,anti_myopia,control,,5,control barrier function,2026-06-12T15:07:36Z,20.096,23.096
doi:10.1016/j.isatra.2025.04.024,Safe prescribed time controller for wheeled mobile robots by using control barrier functions as a safety filter,,2025,ISA Transactions,Ali Alavi Nasab; Roozbeh Badiei; Mohammad Hassan Asemani,10.1016/j.isatra.2025.04.024,,https://doi.org/10.1016/j.isatra.2025.04.024,crossref,control barrier functions robot learning,anti_myopia,control,,4,control barrier function,2026-06-12T15:07:36Z,20.005,23.005
doi:10.1109/lra.2022.3174363,Towards a Snake-Like Flexible Robot With Variable Stiffness Using an SMA Spring-Based Friction Change Mechanism,"A flexible surgical robot that can adjust its stiffness guarantees safe operation by satisfying both the high flexibility required when the robot approaches a surgical target and the more stiffness necessary for the end effector to perform surgical procedures. Therefore, this paper proposes a flexible surgical robot that consists of a central backbone, eight super-elastic wires as peripheral backbones, SMA springs, rubber tubes, and several disks. The inner diameter of the SMA springs that can be changed via their temperature creates a tightening force change to apply onto the eight backbone wires of the robot to adjust the overall stiffness of the robot. The simple structure is favorable for robot miniaturization. Frictional force and stiffness modulation experiments of the robot are performed. The results confirmed that the robot's stiffness was increased approximately 1.4 times betwee",2022,IEEE Robotics and Automation Letters,Hyerim Jeon; Quang Ngoc Le; Sanghun Jeong; Su-Jin Jang; Hoeryong Jung; Handdeut Chang; Hardik J. Pandya; Yeongjin Kim,10.1109/lra.2022.3174363,,https://doi.org/10.1109/lra.2022.3174363,openalex,robotics,concept,openalex_bulk_robotics,,27,surgical robot,2026-06-12T18:57:17Z,19.766,19.766
doi:10.1523/jneurosci.2125-20.2021,Did We Get Sensorimotor Adaptation Wrong? Implicit Adaptation as Direct Policy Updating Rather than Forward-Model-Based Learning,"The human motor system can rapidly adapt its motor output in response to errors. The prevailing theory of this process posits that the motor system adapts an internal forward model that predicts the consequences of outgoing motor commands and uses this forward model to plan future movements. However, despite clear evidence that adaptive forward models exist and are used to help track the state of the body, there is no definitive evidence that such models are used in movement planning. An alternative to the forward-model-based theory of adaptation is that movements are generated based on a learned policy that is adjusted over time by movement errors directly (“direct policy learning”). This learning mechanism could act in parallel with, but independent of, any updates to a predictive forward model. Forward-model-based learning and direct policy learning generate very similar predictions a",2021,The Journal of Neuroscience,Alkis M. Hadjiosif; John W. Krakauer; Adrian M. Haith,10.1523/jneurosci.2125-20.2021,,https://doi.org/10.1523/jneurosci.2125-20.2021,crossref,test time adaptation robot policy,concept,adaptation,,70,test time adaptation,2026-06-12T15:07:36Z,19.631,19.631
doi:10.1016/j.birob.2024.100173,Embodying rather than encoding: Towards developing a source-filter theory for undulation gait generation,,2024,Biomimetic Intelligence and Robotics,Longchuan Li; Shugen Ma; Isao Tokuda; Zaiyang Liu; Zhenxuan Ma; Yang Tian; Shuai Kang,10.1016/j.birob.2024.100173,,https://doi.org/10.1016/j.birob.2024.100173,crossref,robotics,concept,crossref_bulk_robotics,,7,,2026-06-12T19:29:26Z,19.440,19.440
