stress_level,variant,mean_success,ci95_success
0.0,scalar_uncertainty_planner,0.6829,0.0143
0.0,conformal_risk_filter,0.6962,0.0073
0.0,proposed_branch_mechanism,0.7521,0.0142
0.0,oracle_branch_upper_bound,0.8095,0.0112
0.2,scalar_uncertainty_planner,0.6307,0.0141
0.2,conformal_risk_filter,0.6583,0.0062
0.2,proposed_branch_mechanism,0.7229,0.0151
0.2,oracle_branch_upper_bound,0.7886,0.0128
0.4,scalar_uncertainty_planner,0.5731,0.0109
0.4,conformal_risk_filter,0.6110,0.0071
0.4,proposed_branch_mechanism,0.6964,0.0158
0.4,oracle_branch_upper_bound,0.7693,0.0124
0.6,scalar_uncertainty_planner,0.5157,0.0096
0.6,conformal_risk_filter,0.5660,0.0072
0.6,proposed_branch_mechanism,0.6648,0.0147
0.6,oracle_branch_upper_bound,0.7498,0.0118
0.8,scalar_uncertainty_planner,0.4586,0.0127
0.8,conformal_risk_filter,0.5207,0.0083
0.8,proposed_branch_mechanism,0.6343,0.0149
0.8,oracle_branch_upper_bound,0.7305,0.0132
1.0,scalar_uncertainty_planner,0.4017,0.0147
1.0,conformal_risk_filter,0.4760,0.0112
1.0,proposed_branch_mechanism,0.6057,0.0144
1.0,oracle_branch_upper_bound,0.7100,0.0132
