seed,stress_level,method,task_success,deployed_violation,unshielded_violation,intervention_rate,intervention_severity,filter_dependence,boundary_f1,boundary_ece,transfer_violation,recovery_success,robust_utility,mechanism_utility,action_regret
0,0.0,action_clipping_filter,0.272222,0.444444,0.819444,0.891667,0.209576,0.677250,0.724584,0.059035,0.858333,0.380556,-0.259162,-0.112463,0.607571
0,0.0,adversarial_safety_critic,0.266667,0.611111,0.738889,0.422222,0.062993,0.165611,0.521505,0.194876,0.666667,0.136111,-0.221619,0.237025,0.547834
0,0.0,boundary_learning_filter_v4,0.358333,0.469444,0.758333,0.744444,0.101052,0.234014,0.725410,0.087136,0.602778,0.311111,-0.060617,0.211817,0.489226
0,0.0,cbf_safety_filter,0.538889,0.319444,0.797222,0.847222,0.205812,0.707089,0.727619,0.142229,0.825000,0.472222,0.091042,-0.080364,0.511141
0,0.0,conformal_uncertainty_shield,0.536111,0.327778,0.783333,0.866667,0.249051,0.746092,0.733083,0.210543,0.780556,0.466667,0.063426,-0.075664,0.522027
0,0.0,counterfactual_boundary_learning_filter_v5,0.427778,0.411111,0.741667,0.738889,0.106699,0.185889,0.724280,0.054569,0.597222,0.369444,0.057042,0.250469,0.444312
0,0.0,geometric_projection_filter,0.300000,0.563889,0.780556,0.558333,0.111156,0.408633,0.612827,0.181323,0.808333,0.250000,-0.223444,0.055206,0.587088
0,0.0,lagrangian_safe_rl,0.311111,0.622222,0.780556,0.538889,0.066976,0.202533,0.608696,0.143945,0.705556,0.169444,-0.191783,0.169751,0.550848
0,0.0,oracle_boundary_teacher,0.644444,0.125000,0.688889,0.941667,0.076552,0.150600,0.762075,0.037530,0.388889,0.580556,0.481323,0.400699,0.272562
0,0.0,recovery_policy_shield,0.605556,0.350000,0.772222,0.794444,0.152230,0.522522,0.711462,0.095421,0.691667,0.422222,0.197083,0.065094,0.448993
0,0.0,robust_mpc_shield,0.727778,0.216667,0.788889,0.888889,0.203876,0.710750,0.744444,0.103459,0.780556,0.575000,0.352150,-0.051652,0.431366
0,0.0,safety_filter_distillation,0.375000,0.447222,0.758333,0.797222,0.106027,0.256400,0.729783,0.114024,0.647222,0.305556,-0.036246,0.189839,0.488364
0,0.0,shielded_behavior_cloning,0.347222,0.594444,0.805556,0.544444,0.077889,0.223228,0.600962,0.115622,0.758333,0.197222,-0.144705,0.120596,0.541985
0,0.0,unfiltered_policy,0.194444,0.808333,0.794444,0.000000,0.000000,0.000000,0.000000,0.439193,0.827778,0.000000,-0.373553,0.195244,0.619778
0,0.2,action_clipping_filter,0.222222,0.575000,0.872222,0.905556,0.217407,0.708544,0.786207,0.146954,0.911111,0.325000,-0.401664,-0.199131,0.664514
0,0.2,adversarial_safety_critic,0.205556,0.652778,0.805556,0.519444,0.078562,0.208756,0.603175,0.263441,0.758333,0.177778,-0.324077,0.121602,0.581370
0,0.2,boundary_learning_filter_v4,0.333333,0.544444,0.825000,0.844444,0.117599,0.269597,0.770609,0.094281,0.702778,0.300000,-0.145624,0.096092,0.525475
0,0.2,cbf_safety_filter,0.469444,0.305556,0.861111,0.930556,0.230489,0.797172,0.801358,0.185526,0.869444,0.566667,0.003070,-0.196026,0.535838
0,0.2,conformal_uncertainty_shield,0.486111,0.322222,0.841667,0.941667,0.278117,0.834200,0.812816,0.279894,0.852778,0.527778,-0.010613,-0.194136,0.546054
0,0.2,counterfactual_boundary_learning_filter_v5,0.327778,0.461111,0.802778,0.841667,0.124466,0.215133,0.771993,0.080713,0.633333,0.352778,-0.088675,0.160820,0.487020
0,0.2,geometric_projection_filter,0.297222,0.558333,0.822222,0.638889,0.129807,0.476739,0.665289,0.215413,0.866667,0.266667,-0.241757,-0.032186,0.597396
0,0.2,lagrangian_safe_rl,0.252778,0.697222,0.813889,0.586111,0.074409,0.224817,0.645161,0.199081,0.763889,0.161111,-0.305909,0.105812,0.590527
0,0.2,oracle_boundary_teacher,0.588889,0.130556,0.727778,0.986111,0.083839,0.162050,0.827586,0.029075,0.530556,0.616667,0.416098,0.312433,0.288137
0,0.2,recovery_policy_shield,0.547222,0.366667,0.844444,0.833333,0.161529,0.563633,0.772563,0.151373,0.794444,0.477778,0.115488,-0.056385,0.472600
0,0.2,robust_mpc_shield,0.658333,0.216667,0.827778,0.952778,0.223605,0.785500,0.827471,0.151687,0.825000,0.605556,0.259895,-0.136229,0.457776
0,0.2,safety_filter_distillation,0.325000,0.513889,0.808333,0.858333,0.117456,0.282000,0.777975,0.147884,0.744444,0.316667,-0.138326,0.096009,0.524827
0,0.2,shielded_behavior_cloning,0.222222,0.688889,0.833333,0.613889,0.089053,0.259389,0.677895,0.171072,0.794444,0.147222,-0.343746,0.061162,0.603556
0,0.2,unfiltered_policy,0.100000,0.883333,0.883333,0.000000,0.000000,0.000000,0.000000,0.529224,0.880556,0.000000,-0.518360,0.086233,0.662667
0,0.4,action_clipping_filter,0.172222,0.575000,0.897222,0.930556,0.229233,0.743661,0.836601,0.153709,0.913889,0.338889,-0.463674,-0.241018,0.680857
0,0.4,adversarial_safety_critic,0.194444,0.647222,0.891667,0.675000,0.105492,0.276467,0.719231,0.279846,0.813889,0.238889,-0.353302,-0.011064,0.594787
0,0.4,boundary_learning_filter_v4,0.230556,0.572222,0.858333,0.894444,0.128766,0.291472,0.828047,0.139001,0.761111,0.308333,-0.276806,0.032185,0.559554
0,0.4,cbf_safety_filter,0.416667,0.305556,0.869444,0.972222,0.251267,0.851222,0.861244,0.192082,0.902778,0.569444,-0.068164,-0.239096,0.556619
0,0.4,conformal_uncertainty_shield,0.419444,0.344444,0.866667,0.966667,0.293930,0.872192,0.854400,0.307298,0.877778,0.519444,-0.105574,-0.245565,0.573904
0,0.4,counterfactual_boundary_learning_filter_v5,0.325000,0.502778,0.827778,0.913889,0.140002,0.237922,0.831683,0.112068,0.736111,0.338889,-0.126868,0.092272,0.506440
0,0.4,geometric_projection_filter,0.211111,0.625000,0.886111,0.713889,0.146974,0.545072,0.741573,0.242438,0.911111,0.275000,-0.391274,-0.141399,0.647242
0,0.4,lagrangian_safe_rl,0.219444,0.658333,0.866667,0.722222,0.094686,0.282683,0.748603,0.205904,0.816667,0.241667,-0.333145,0.012816,0.595343
0,0.4,oracle_boundary_teacher,0.541667,0.175000,0.836111,0.997222,0.089298,0.167050,0.867925,0.037919,0.591667,0.661111,0.336738,0.180509,0.313386
0,0.4,recovery_policy_shield,0.447222,0.383333,0.900000,0.913889,0.181025,0.628178,0.828383,0.141847,0.783333,0.505556,-0.016720,-0.138366,0.509188
0,0.4,robust_mpc_shield,0.597222,0.263889,0.880556,0.977778,0.234674,0.821500,0.871224,0.168494,0.894444,0.613889,0.156654,-0.227797,0.491421
0,0.4,safety_filter_distillation,0.250000,0.566667,0.888889,0.927778,0.130829,0.310600,0.837971,0.142904,0.808333,0.333333,-0.258599,-0.019904,0.562555
0,0.4,shielded_behavior_cloning,0.161111,0.702778,0.894444,0.733333,0.109849,0.313567,0.746765,0.188143,0.825000,0.200000,-0.432377,-0.034512,0.630467
0,0.4,unfiltered_policy,0.080556,0.886111,0.900000,0.000000,0.000000,0.000000,0.000000,0.594100,0.902778,0.000000,-0.540180,0.062422,0.667444
0,0.6,action_clipping_filter,0.136111,0.616667,0.925000,0.958333,0.241197,0.773283,0.869841,0.142824,0.933333,0.333333,-0.536597,-0.289777,0.707120
0,0.6,adversarial_safety_critic,0.180556,0.655556,0.894444,0.744444,0.118345,0.307022,0.766727,0.272156,0.813889,0.244444,-0.382694,-0.027992,0.606211
0,0.6,boundary_learning_filter_v4,0.152778,0.627778,0.866667,0.950000,0.141036,0.311792,0.864434,0.137071,0.783333,0.261111,-0.399731,0.004066,0.597535
0,0.6,cbf_safety_filter,0.397222,0.358333,0.919444,0.980556,0.259903,0.863756,0.874608,0.191103,0.925000,0.563889,-0.126535,-0.304087,0.580455
0,0.6,conformal_uncertainty_shield,0.355556,0.352778,0.911111,0.994444,0.314211,0.903986,0.880249,0.268571,0.891667,0.558333,-0.188958,-0.311246,0.596814
0,0.6,counterfactual_boundary_learning_filter_v5,0.255556,0.486111,0.880556,0.975000,0.153191,0.255967,0.874214,0.104705,0.769444,0.394444,-0.195418,0.019495,0.519535
0,0.6,geometric_projection_filter,0.186111,0.547222,0.908333,0.802778,0.169574,0.615911,0.790941,0.233298,0.916667,0.366667,-0.388618,-0.193418,0.639921
0,0.6,lagrangian_safe_rl,0.169444,0.675000,0.891667,0.794444,0.106775,0.311267,0.777583,0.211459,0.858333,0.238889,-0.404450,-0.038958,0.616283
0,0.6,oracle_boundary_teacher,0.480556,0.211111,0.852778,1.000000,0.094026,0.168750,0.883721,0.019178,0.583333,0.644444,0.249174,0.162413,0.338219
0,0.6,recovery_policy_shield,0.430556,0.377778,0.902778,0.930556,0.190093,0.642978,0.841935,0.165847,0.855556,0.522222,-0.035980,-0.170119,0.514152
0,0.6,robust_mpc_shield,0.530556,0.261111,0.900000,0.983333,0.245268,0.829500,0.876369,0.143215,0.905556,0.638889,0.084954,-0.256813,0.506733
0,0.6,safety_filter_distillation,0.227778,0.525000,0.894444,0.952778,0.138953,0.321100,0.859873,0.138292,0.786111,0.377778,-0.259670,-0.023313,0.556388
0,0.6,shielded_behavior_cloning,0.136111,0.688889,0.905556,0.813889,0.124379,0.350239,0.795848,0.171254,0.838889,0.250000,-0.460912,-0.065998,0.638039
